Año,SEXO,LinkedIn,Diplomado_1,Diplomado_2,Especialización_1,Especialización_2,Maestría_1,Maestría_2,Doctorado,Docencia_2,Docencia_3,Administrativo_1,Administrativo_2,Administrativo_3,Director_1,Director_2,Director_3,Consultor_1,Consultor_2,Coordinador_1,Coordinador_2,Coordinador_3,Coach,Lider,Supervisor,M+TT(Años),M-TT(Años),TD,TA,TDir,TC,TCoor,TCoa,TLi,TSup,#_De_Empresas
2002,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Jefe de Operaciones,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,13.42,0,0,13.42,0,0,0,0,0,0,1
2005,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Analista de Capacitación Empresarial,Formación y Desarrollo,NO,NO,NO,NO,Capacitación Empresarial,NO,NO,NO,NO,NO,NO,NO,8.75,6.75,8.75,6.75,0,0,0,0,0,0,4
2002,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Residente Administrativo,NO,NO,NO,NO,NO,Gestión de Calidad,NO,NO,NO,NO,NO,NO,NO,14.67,6.25,0,14.67,0,6.25,0,0,0,0,2
2003,M,SI,Ninguno,Ninguno,Finanzas,Ninguna,Gestión Administrativa de Negocios,Fianazas Internacionales,Ninguna,Ninguna,Ninguna,Analista Financiero,Analista de Negocios,Especialista Financiero,NO,NO,NO,Finanzas,NO,NO,NO,NO,NO,NO,NO,6.5,0.92,0,7.42,0,0,0,0,0,0,5
2002,F,SI,Ninguno,Ninguno,Gestión de Proyectos,Ninguna,Administración de Proyectos,Gestión de Proyectos,Ninguna,Ninguna,Ninguna,NO,NO,NO,Proyectos y Asesoria,Consultora de Proyectos,NO,NO,NO,Comercial,NO,NO,NO,NO,NO,14,0.33,2.92,0,14,0,0,0,0,0,6
2001,F,SI,Ninguno,Ninguno,Gerencia de Proyectos,Ninguna,Administración de Proyectos,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,NO,Proyectos y Asesoria,NO,NO,NO,NO,Comercial,NO,NO,NO,NO,NO,13.75,2.92,2.92,0,13.75,0,3.67,0,0,0,6
2006,F,SI,Ninguno,Ninguno,Estadística,Ninguna,Ingeniería Industrial,Ninguna,Ninguna,Ninguna,Ninguna,Analisis y Gestión de la Infomación,Asistente de Procesos y Metodos,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,16.5,0.92,0,16.5,0,0,0,0,0,0,5
2005,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,NO,NO,NO,NO,Gestión de Calidad,Procesos,NO,NO,NO,NO,NO,NO,21.08,4,0,0,0,21.08,0,0,0,0,3
2002,M,SI,Ninguno,Ninguno,Salud Ocupacional,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,NO,HSE,NO,NO,HSE,NO,SIG,NO,NO,NO,NO,HSE,4,0.17,0,0,1.5,2.25,3.67,0,0,3.16,6
2001,F,SI,Ninguno,Ninguno,Ninguna,Ninguna,Gestión de Calidad,Exelencia de las Organizaciones,Ninguna,Ninguna,Ninguna,Gerente,NO,NO,Comercial,NO,NO,NO,NO,Servicio al Cliente,ISO,NO,NO,NO,Producción,10,1,10,6.58,0,0,1.16,0,0,0,4
