Año,SEXO,LinkedIn,Diplomado_1,Diplomado_2,Especialización_1,Especialización_2,Maestría_1,Maestría_2,Doctorado,Docencia_2,Docencia_3,Administrativo_1,Administrativo_2,Administrativo_3,Director_1,Director_2,Director_3,Consultor_1,Consultor_2,Coordinador_1,Coordinador_2,Coordinador_3,Coach,Lider,Supervisor,M+TT(Años),M-TT(Años),TD,TA,TDir,TC,TCoor,TCoa,TLi,TSup,#_De_Empresas
2005,M,SI,Ninguno,Ninguno,Gerencia de Empresas,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Subdirector de Calidad,Ejecutivo de Ventas,NO,Garantía de Calidad,NO,NO,Comercial,NO,Gestión de Calidad,NO,NO,NO,NO,NO,5.08,1.58,0,5.08,1.58,3.67,3.5,0,0,0,5
2002,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Asistente,Consultor Corportativo,NO,NO,NO,NO,Servicio de atención al cliente,NO,NO,NO,NO,NO,NO,NO,13.25,1,2.75,13.25,0,1,0,0,0,0,2
2004,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Planeador de Patio,Superintendente de Operaciones,NO,NO,NO,NO,NO,NO,Operaciones,NO,NO,NO,NO,Puerto,3.67,1.16,0,3.67,0,0,1.16,0,0,1.67,6
2001,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Vendedor E-Comerce,NO,NO,NO,NO,NO,Servicio de atención al cliente,NO,NO,NO,NO,NO,NO,NO,15.92,0,0,0,0,15.92,0,0,0,0,5
1998,M,SI,Ninguno,Ninguno,Gestión de Calidad,Gerencia de Recursos Humanos,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Asistente Ejecutivo,Contratista,NO,NO,NO,NO,NO,NO,Salud Ocupacional,NO,NO,NO,NO,NO,12,1.67,0,5.25,0,0,12,0,0,0,7
2007,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Planificador de Mantenimiento,Jefe de Fabricación,NO,NO,NO,NO,NO,NO,Gestión de Calidad,Producción,NO,NO,Producción,Producción,5.5,2.08,0,4.5,0,0,2.08,0,3.25,5.5,8
2006,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Administración de Empresas,Ninguna,Ciencias de la Admnistración,Universidad La Gran Colombia,Universidad de Florida,NO,NO,NO,NO,NO,NO,Monitoreo y Evaluación de Proyectos,NO,Gestión de Proyectos,NO,NO,NO,NO,NO,4.67,1.42,4.5,0,0,4.67,1.42,0,0,0,6
2005,M,SI,Ninguno,Ninguno,Gestión de Calidad,Ninguna,Productividad y Sistemas de Calidad,Ninguna,Ninguna,Ninguna,Ninguna,Desarrollador,Servicio al Ciudadano,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,11.58,0.08,0,16.08,0,0,0,0,0,0,4
2004,M,SI,Ninguno,Ninguno,Proyectos de Evaluación Social,Estadística,Ciencias de la Economía,Políticas Sociales,Economia del Agua y Cambio Clímatico,Universidad Erasmo Rotterdam,Corporación Autonoma Regional del Cauca,Monitor y Evaluador en Salud y Protección,Monitor y Evaludor Financiero,Analista de Datos,Economico,NO,NO,Inversión Pública,Finanzas Públicas,NO,NO,NO,NO,NO,Producción,7.5,1.33,7.5,6.08,3.08,3,0,0,0,1.33,15
2004,M,SI,Ninguno,Ninguno,Logistica Empresarial,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Jefe de Compras,Jefe de Servicios Generales,NO,NO,NO,NO,NO,NO,Almacén,NO,NO,NO,NO,NO,10.25,4,0,8,0,0,10.25,0,0,0,3
2000,M,SI,Ninguno,Análisis y Gestión Ambiental,Gestión Integrada,Seguridad y Salud en el Trabajo,Ninguna,Ninguna,Ninguna,Universidad del Magdalena,Asesor en Seguridad y Salud en el Trabajo,NO,NO,NO,NO,NO,Negocios,NO,Seguridad y Salud en el Trabajo,Prevención,Seguridad y Salud,NO,NO,NO,NO,18.83,14.67,14.67,0,0,0,18.83,0,0,0,8
2005,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,NO,Mantenimiento,NO,NO,NO,NO,Mantenimiento,Control de Compras e Inventario,NO,NO,NO,NO,13.16,2.83,0,0,13.16,0,2.83,0,0,0,3
2002,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Empresas e Innovación,Ninguna,Ninguna,Fundación Universitaria San Martin,Corporación Universitaria Americana,Asistente Administrativo,Asesor Ecónomico,NO,NO,NO,NO,Técnico,NO,Gestión de Calidad,Aseguramiento de la Calidad,Maestría de Ingeniería Industrial,NO,Investigación,NO,13.25,6,13.25,6,7.16,0,8.6,0,10,0,14
2003,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Administración de Empresas e Innovación,Ninguna,Ninguna,Universidad Simón Bolivar,Universidad Libre,Jefe de Control de Calidad,Asistente Colaborador,NO,Especialización Alta Gerencia,NO,NO,NO,NO,Maestría,Aseguramiento de la Calidad,NO,NO,Investigación,NO,16.5,3.08,16.5,3.08,6,0,7.5,0,10.08,0,16
2001,M,SI,Ninguno,Ninguno,Logistica Empresarial,Ninguna,Administración y Direccion de Empresas,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,NO,NO,NO,NO,Logistico,NO,Sistemas y Tecnología,Importaciones,Mercadeo,NO,NO,NO,6.25,5.5,0,0,0,6.25,5.5,0,0,0,8
2001,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Administración y Direccion de Empresas,Ninguna,Ingenieria Industrial,Universidad Industrial de Santander,Universidad Simón Bolivar,NO,NO,NO,NO,NO,NO,NO,NO,Gestion de Proyectos,Investigaciones,NO,NO,Gestión de ideas para la innovación,NO,14,9.5,14,0,0,0,9.5,0,0,0,9
2005,M,SI,Ninguna,Ninguna,Procesos Industriales,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,Jefe de Salud,Seguridad,Calidad y MedioAmbiente,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2.5,0.5,0.5,2.5,0,0,0,0,2,0,2
2004,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Gestión de Calidad,Asesor Gestión Directiva,Secretaria de Educación Pública,NO,NO,NO,NO,NO,Sistema Integrado de Gestión,NO,NO,NO,NO,NO,7.5,2.42,0,7.5,0,0,2.42,0,0,0,6
2001,M,SI,Ninguno,Ninguno,Gestión de Calidad,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Asesor Administrativo,NO,NO,NO,NO,NO,Gestión de Calidad,NO,Riesgos,NO,NO,NO,Auditoria Interna,NO,9.75,0.58,0,0.58,0,2.58,3.42,0,9.75,0,7
2007,M,SI,Ninguno,Ninguno,Gerencia de Proyectos,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Jefe de Operaciones,NO,NO,Operaciones y Estrategia,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,11.25,1.25,0,11.25,1.25,0,0,0,0,0,1
2005,M,SI,Ninguno,Ninguno,Gerencia de la Calidad,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Asistente de Gestión de Calidad,Gerente de Procesos,NO,NO,NO,NO,NO,NO,Planeación,Hacienda,NO,NO,NO,NO,12.08,6,0,12.08,0,0,10.6,0,0,0,4
2006,M,SI,Ninguno,Ninguno,Salud Ocupacional,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Analista Salud Ocupacional,Asesor Prevención de Riesgos,Analista SST,NO,NO,NO,NO,NO,NO,NO,NO,NO,SISO,NO,10.25,1.5,0,10.25,0,0,0,0,1.5,0,6
2008,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,ICFES,NO,NO,NO,NO,NO,Alcaldía Distrital de Barranquilla,NO,NO,NO,NO,NO,NO,Planta,18.42,1.08,12.08,18.42,0,3.25,0,0,0,1.08,4
2003,M,SI,Ninguno,Ninguno,Logistica Empresarial,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Auxiliar de Logística,Gestión de Calidad,Jefe de Planta,Comercial,NO,NO,NO,NO,Planeación de Producción,NO,NO,NO,NO,Producción,8.5,1.16,0,4.92,8.58,0,3.67,0,0,1.16,8
2007,F,SI,Logística,Comercio Exterior,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Exteditor de Compras,Jefe de Compras,Analista de Compras,NO,NO,NO,NO,NO,Comercio Exterior,Finanzas,NO,NO,NO,NO,6.92,4.58,0,6.92,0,0,4.58,0,0,0,7
2005,F,SI,Ninguno,Ninguno,Gerencia de Recursos Humanos,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Estudiante de Practicas,Gestor de Organización,Técnico de Recursos Humanos,NO,NO,NO,NO,NO,Atención Al Cliente,NO,NO,NO,NO,NO,11.5,0.5,0,10.25,0,0,11.5,0,0,0,6
2006,F,SI,Ninguno,Ninguno,Gestión de Calidad,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Jefe de Control de Calidad,Jefe de Servicios Técnicos,NO,NO,NO,NO,NO,NO,Servicios Operativos,NO,NO,NO,NO,NO,7.5,6.08,0,7.5,0,0,6.08,0,0,0,5
2005,F,SI,Ninguno,Ninguno,Ninguna,Ninguna,Administración de Negocios,Ninguna,Ninguna,Ninguna,Ninguna,Gestión de Calidad,Subgerente,NO,NO,NO,NO,Gestión de Calidad,NO,Gestión de Calidad,NO,NO,NO,Team Paint & Decoral,NO,15.58,0.25,0,15.58,0,0.25,2,0,1.42,0,6
2006,F,SI,Ninguno,Ninguno,Gerencia y Control de Riesgos,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,NO,NO,NO,NO,NO,NO,Gestión Integral,NO,NO,NO,SGI,NO,15,7.08,0,0,0,0,7.08,0,15,0,3
2001,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Axuliar de Compras,Asistente de Compras,Auxiliar de Costos,NO,NO,NO,NO,NO,Inventarios,NO,NO,NO,Operaciones,Maquila,10,1,0,10,0,0,1.33,0,3.75,1,12
2005,M,SI,Ninguno,Ninguno,Salud Ocupacional,Logística Empresarial,Sistemas Integrados de Gestión,Ninguna,Ninguna,Ninguna,Ninguna,Analista de SSG,Protección y Control de Pérdidas,Contratación,Sistemas Integrados de Gestión,NO,NO,Compras,NO,Compras,NO,NO,NO,Compras,NO,11.25,3.25,0,8.08,3.25,11.25,0,0,4.25,0,7
2001,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Gerente Comercial,NO,NO,NO,NO,NO,Salud Ocupacional,NO,Gestión de Calidad,Estrategia y Riesgos,NO,NO,NO,NO,13.16,1.75,0,0,0,13.16,1.75,0,0,0,3
2003,F,SI,Ninguno,Ninguno,Alta Gerencia,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ejecutivo de Cuentas,Jefe Comercial,NO,NO,NO,NO,Gestión de Calidad,NO,NO,NO,NO,NO,NO,NO,8.5,7.16,0,8.5,0,7.16,0,0,0,0,3
2005,F,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Gestión de Calidad,NO,NO,Gestión de Calidad,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,6.83,4,0,4,6.83,0,0,0,0,0,2
2006,M,SI,Ninguno,Ninguno,Alta Gerencia,Ninguna,Administración de Empresas e Innovación,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,NO,NO,NO,NO,Estrategia e Innovación,NO,Familias en Acción,NO,NO,NO,NO,NO,10.25,1.08,10.25,0,0,1.08,6.67,0,0,0,4
2001,F,SI,Ninguno,Ninguno,Gerencia de Mercadeo,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Gerente  Nacional Call Center,NO,NO,Finanzas,NO,NO,NO,NO,Productividad Regional,NO,NO,NO,NO,NO,12.33,4.42,0,12.33,4.42,0,0,0,0,0,3
2005,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,NO,NO,NO,NO,NO,NO,Articulación,NO,NO,NO,NO,NO,8,0,0,0,0,0,8,0,0,0,1
2005,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Logística,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,NO,Logística ,NO,NO,Logistico,NO,Logística,NO,NO,NO,NO,Logistico,6.25,1.16,0,0,5.92,1.16,6.25,0,0,5,10
2001,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Desarrollo Social,Ninguna,Aministración y Desarrollo empresarial,Universidad Simón Bolivar,Universidad Tecnologica de Bolivar,NO,NO,NO,Corporativo,NO,NO,Desarrollo Empresarial,NO,Ingenieria Industrial,NO,NO,NO,NO,NO,15.33,0.5,13.42,0,15.33,0.5,1.75,0,0,0,14
2004,M,SI,Ninguno,Ninguno,Gestión de Producción y Operaciones,Ingeniería Administrativa,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,NO,Producción,Gestión de Calidad,NO,NO,NO,NO,NO,NO,NO,NO,NO,16.67,8,0,0,24.67,0,0,0,0,0,2
2007,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Jefe de Servicio,Analista de Tiempos y Movimientos,Asistente Gestión Humana,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Producción,14.25,6,0,6,0,0,0,0,0,14.25,5
2001,F,SI,Ingeniería de Calidad,Ninguno,Gerencia Financiera,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Gerente Administrativo,Auxiliar de Compras,NO,Negocios,NO,NO,NO,NO,Gestión Humana,NO,NO,NO,NO,NO,3.16,0.42,0,1.5,3.16,0,0.42,0,0,0,7
2004,F,SI,Ninguno,Ninguno,Ninguna,Ninguna,Prevención de Riesgos Laborales,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,NO,NO,NO,NO,NO,NO,Gestión de Calidad,Academico,NO,NO,NO,NO,7.25,1,0,0,0,0,9.25,0,0,0,3
2001,F,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,NO,NO,NO,NO,NO,NO,Salud Ocupacional,NO,NO,NO,NO,NO,6.92,4,6.92,0,0,0,4,0,0,0,2
2001,F,SI,Ingeniería de Calidad,Seguridad y Salud Ocupacional,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Administrador,NO,NO,NO,NO,NO,Gestión de Calidad,NO,Gestión de Calidad,Administrativo,Operaciones de Negocio,NO,NO,NO,6.5,1.25,0,1.25,0,2,6.5,0,0,0,3
2004,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Gestión Logistica,Ninguna,Ninguna,Ninguna,Ninguna,Auxiliar de Almacen,Jefe de Almacen,NO,Cadena de Abastecimiento,NO,NO,NO,NO,Logística,NO,NO,NO,Logistico,NO,8.33,3.08,0,4.5,3.08,0,8.33,0,4.5,0,6
2003,F,SI,Ninguno,Ninguno,Gestión de Producción y Operaciones,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Analista de Planeación de Operaciones,NO,NO,NO,NO,NO,NO,NO,Inventarios,Servicio al Cliente,NO,NO,NO,Bodega,12.5,1.08,0,1.83,0,0,13.08,0,0,1.08,4
2001,F,SI,Ninguno,Ninguno,Ninguna,Ninguna,Prevención de Riesgos Laborales,Gestión Integral,Aministración y Desarrollo empresarial,Ninguna,Ninguna,Vendedor E-Comerce,NO,NO,NO,NO,NO,NO,NO,Gestión Humana,Negocios,NO,NO,Proyectos,Proyectos,4.83,1.25,0,0,0,0,1.25,0,1.68,4.83,7
2000,F,SI,Finanzas,Ninguno,Administración y Gestión de Empresas,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Asistente,Estudiante Practicas,Asesora Financiera,Corporativo,NO,NO,NO,NO,Gestión de Calidad,NO,NO,NO,NO,NO,8.08,0.25,0,0.25,8.08,0,5.08,0,0,0,11
2004,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Gerente Comercial,Gerente MultiServicios,NO,NO,NO,NO,NO,NO,Alumbrado Publico,NO,NO,NO,NO,NO,8.83,7,0,16,0,0,7,0,0,0,3
2002,M,SI,Ninguno,Ninguno,Prevención en Riesgos Profesionales,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,NO,NO,NO,NO,NO,NO,Gestión de Proyectos,NO,NO,NO,NO,NO,2.25,1.5,1.5,0,0,0,2.25,0,0,0,3
2005,M,SI,Ninguno,Ninguno,Gestión de Calidad,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Jefe Metodos y Procedimientos,NO,NO,Olimpica,NO,NO,NO,NO,Metodos y Procedimientos,NO,NO,NO,NO,NO,17.67,2367,0,2.67,17.67,0,7.5,0,0,0,6
2000,F,SI,Ninguno,Ninguno,Gestión de Calidad,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,NO,NO,NO,NO,Gestión de Calidad,Gestión de Calidad,Gestión de Calidad,NO,NO,NO,NO,NO,11.08,3,1.5,0,0,11.08,3,0,0,0,24
2003,M,SI,Ninguno,Ninguno,Finanzas,Logística Empresarial,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Programador Logistico,Diseñador de Redes,NO,Argos,NO,NO,NO,NO,Optimización de Transporte,NO,NO,NO,Planeación,NO,16.67,3.08,0,3.5,16.67,0,3.08,0,13.16,0,5
2005,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Jefe de Logistica,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Producción,6,3.92,0,6,0,0,0,0,0,3.92,2
2001,M,SI,Salud Ocupacional,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Administrador,Gerente,NO,NO,NO,NO,NO,NO,SIO,NO,NO,NO,NO,NO,21,0,0,21,0,0,0,0,0,0,3
2002,M,SI,Administración y Gestión de Negocios,Operaciones Globales,Ninguna,Ninguna,Administración y Direccion de Empresas,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,NO,Ventas,Estrategia de Ventas y Operaciones,NO,NO,NO,NO,NO,NO,NO,NO,NO,8,0.5,0,5.5,8,0.5,0,0,0,0,9
2005,M,SI,Ninguno,Ninguno,Gerencia en la Producción y Calidad,Ninguna,Educación,Ninguna,Ninguna,Secretaria de Educación Distrital de Cartagena,Fundación Universitaria Colombo Internacional,Asistente Academico,NO,NO,CEO,NO,NO,Gestión de Calidad,NO,Gestión de Calidad,Academico,NO,NO,NO,NO,15.08,0.92,15.08,0,1.08,4.92,8.16,0,0,0,9
2002,M,SI,Gerencia Politica y Gobernabilidad,Contratación Estatal,Logistica Empresarial,Diseño y Evaluación de Proyectos,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Secretario General De Gbno,NO,NO,NO,NO,NO,Político y de Gobernabilidad,NO,Gestión de Calidad,NO,NO,NO,NO,NO,6.75,1.75,0,2.83,0,6.75,1.75,0,0,0,7
2003,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ejecutivo Comercial,NO,NO,NO,NO,NO,Procesos,NO,NO,NO,NO,NO,SAP,Logistico,10.5,1.67,0,1.67,0,8.67,0,0,10.5,5.58,15
2007,M,SI,Procesamiento de Datos,Ninguno,Gerencia de Producción y Operaciones,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,NO,Gestión de Proyectos,NO,NO,Operaciones,NO,Administrativo y Financiero,NO,NO,NO,NO,NO,6.25,3.58,0,0,5.58,6.25,3.58,0,0,0,6
2002,F,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,NO,Gestión de Calidad,NO,NO,Gestión de Calidad,NO,Gestión de Calidad,NO,NO,NO,NO,NO,7,0.5,0,0,7,2.33,2.42,0,0,0,6
2001,F,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ciencias de la Admnistración,Universidad Autonoma del caribe,Ninguna,Administrador,Analista ,Gerente,Software,NO,NO,NO,NO,Gestión de Proyectos,Maestría Universitaria,NO,NO,Producto,NO,8.08,0.92,6,8.08,1.25,0,2.83,0,0.92,0,14
2003,F,SI,Ninguno,Ninguno,Ninguna,Ninguna,Logística Integral y Comercio Exterior,Ninguna,Ninguna,Ninguna,Ninguna,Jefe de Montaje y Vulcanización,Jefe de Planeación,Analista de Planeación,Gestión de Proyectos,Administrativo,NO,NO,NO,Planta de Producto Terminado,Planeación y Logistica,NO,NO,NO,NO,15,0.67,0,15,2,0,2.16,0,0,0,6
2001,F,SI,Gestión Comercial,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Asistente,NO,NO,NO,NO,NO,NO,NO,Comercial,Distribución y Ventas,NO,NO,NO,NO,18.08,0.75,0.75,1.16,0,0,18.08,0,0,0,5
2004,F,SI,Ninguno,Ninguno,Gestión de Calidad,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Estudiante de Practicas,Especialista en Procesos,NO,NO,NO,NO,NO,NO,Gestión de Calidad,NO,NO,NO,NO,NO,16,1.33,0,17.33,0,0,6.58,0,0,0,3
2004,M,SI,Ninguno,Ninguno,Administración y Gestión de Empresas,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Planeación de Operaciones,Ejecutivo Comercial,Gerente de Entrenamiento,NO,NO,No,NO,NO,Logística,NO,NO,NO,Cadena de Suministros,NO,15.92,1.67,0,15.92,0,0,4.16,0,1.67,0,8
2001,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Administración y Direccion de Empresas,Ninguna,Ninguna,Ninguna,Ninguna,Aministrador,Producción,Salud Ocupacional,Operativo,Financiero,Operaciones y Demanda,NO,NO,NO,NO,NO,NO,NO,NO,7.08,0.5,0.5,2,7.08,0,0,0,0,0,6
2006,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,ICFES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,4.5,0,0,4.5,0,0,0,0,0,0,1
1999,M,SI,Inteligencia computacional,Redes Neuronales,Lógica Difusa yAlgoritmos,Ninguno,Diseño y Evaluación de Proyectos,Ninguna,Ninguna,NO,NO,Asistente,Asitencia Técnica,Gerente,NO,NO,NO,NO,NO,NO,NO,NO,Back Office,Plataforma,NO,9.08,0.58,0,4,0,0,9.08,0,0,0,9
2001,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Gerente,NO,NO,Gestión Integral,NO,NO,NO,NO,Comercial,Sistema de Gestión,NO,NO,NO,NO,6.67,1.58,0,1.58,6.42,0,6.67,0,0,0,7
1999,M,SI,Organización Industrial,Ninguno,Administración de Negocios,Ciencia en Ingenieria Industrial,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Gerente,NO,NO,Comercial,Gestión de Calidad,Producción,Gestión de Calidad,NO,NO,NO,NO,NO,NO,NO,10.08,2.5,0,10.08,0,2.5,0,0,0,0,9
2007,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Analista de Servicios,NO,NO,Tecnico de Acueducto y Saneamiento Básico,Comercial,Operaciones y Demanda,NO,NO,Programas Formativos,NO,NO,NO,NO,Operaciones,4.67,2,0,2.16,4.67,0,2,0,0,3.08,5
2007,F,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,NO,NO,NO,NO,NO,NO,Comercial,NO,NO,NO,NO,NO,8,0,0,0,0,0,8,0,0,0,1
2002,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,NO,NO,NO,NO,NO,NO,General,NO,NO,NO,NO,NO,12,2.42,2.42,12,0,0,0,0,0,0,1
2004,M,SI,Ninguno,Ninguno,Pedagogía,Ninguna,Administración de Organizaciones,Ninguna,Ninguna,UNAD,Coporación Universitaria Minuto de Dios,NO,NO,NO,Administrativo y Financiero,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,9.5,1.08,9.5,0,1.08,0,0,0,0,0,5
2002,M,SI,Ninguno,Ninguno,Gerencia de Mercadeo,Ninguna,Gestión y Dirección de Marketing,Ninguna,Ninguna,Ninguna,Ninguna,Asistente,Ejecutiva Comercial,Ejecutiva de Negocios,Portafolios de Inversión,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,10,5.08,0,5.08,10,0,0,0,0,0,10
2005,M,SI,Ninguno,Ninguno,Seguridad y Salud en el Trabajo,Ninguna,Sistemas Integrados de Gestión,Ninguna,Ninguna,Ninguna,Ninguna,Analista SST,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,13.33,0,0,13.33,0,0,0,0,0,0,1
1999,M,SI,Ninguno,Ninguno,Salud Ocupacional,Prevención y control del fuego para la industria petroquimica,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Analista,NO,NO,NO,NO,NO,Salud Ocupacional,Ventas,Salud Ocupacional,NO,NO,NO,NO,Salud Ocupacional,13.08,1.25,0,1.33,0,5.5,13.08,0,0,1.25,11
2004,M,SI,Ninguno,Ninguno,Gestión de Proyectos,Ninguna,Ninguna,Ninguna,Ninguna,Universidad Libre,Universidad Simón Bolivar,Gestor Educativo,NO,NO,NO,NO,NO,Talento Humano,NO,General,NO,NO,NO,NO,NO,15,1.5,15,1.5,0,12,0,0,0,0,10
2002,M,SI,Ninguno,Ninguno,Gestión de Calidad,Ninguna,Administración e Innovación,Ninguna,Ninguna,Ninguna,Ninguna,Gerente,NO,NO,Gestión de Proyectos,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,15.67,2.16,2.16,4.5,15.67,0,0,0,0,0,4
2005,M,SI,Ninguno,Ninguno,Gestión de Calidad,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Jefe de Producción,Asistente de Calidad,Jefe de Division Metrologica,NO,NO,NO,Gestión de Calidad,NO,Gestión de Calidad,NO,NO,NO,NO,NO,13.67,1.16,0,13.67,0,3.67,1.16,0,0,0,6
1998,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,NO,NO,NO,NO,NO,NO,Comercial,NO,NO,NO,NO,NO,16.16,12.92,0,12.92,16.16,0,0,0,0,0,2
2003,F,SI,Ninguno,Ninguno,Logistica Empresarial,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Asesor de Operaciones,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,7.67,0,0,7.67,0,0,0,0,0,0,1
