Anio,SEXO,Especializacion_2,Confirmacion
2007,M,Alta Gerencia,Tiene
2008,M,Ninguno,Ninguno
2009,F,Ninguno,Ninguno
1999,M,Derecho de los Negocios,Tiene
2003,M,Ninguno,Ninguno
2006,M,Ninguno,Ninguno
2006,M,Ninguno,Ninguno
2001,M,Ninguno,Ninguno
2004,F,Tecnología,Tiene
2004,M,Ninguno,Ninguno
2004,M,Ninguno,Ninguno
2001,F,Ninguno,Ninguno
1999,M,Ninguno,Ninguno
2001,M,Ninguno,Ninguno
2002,M,Ninguno,Ninguno
2000,F,Ninguno,Ninguno
2004,M,Ninguno,Ninguno
2004,M,Estadística,Tiene
2000,M,Seguridad y Salud en el Trabajo,Tiene
1998,M,Ninguno,Ninguno
2006,F,Ninguno,Ninguno
2005,M,Ninguno,Ninguno
