Ano,SEXO,Maestria_2,Confirmacion
1999,F,Finanzas Internacionales,Tiene
2000,M,Integración y Comercio Internacional,Tiene
2001,M,Artes,Tiene
2001,F,Excelencia de las Organizaciones,Tiene
2001,F,Gestión Integral,Tiene
2002,F,Gestión de Proyectos,Tiene
2003,M,Finanzas Internacionales,Tiene
2004,F,Administración de Empresas,Tiene
2000,F,Logística,Tiene
2004,M,Políticas Sociales,Tiene
