Ano,SEXO,Docencia_1,Docente
1999,M,Ninguna,NO
2002,M,Ninguna,NO
2005,M,Universidad Nacional de Colombia,SI
1998,M,Universidad del Atlántico,SI
1998,M,Ninguna,NO
1998,F,Ninguna,NO
1999,M,Universidad del Autónoma del Caribe,SI
1999,M,Universidad del Atlántico,SI
1999,F,Ninguna,NO
1999,M,Ninguna,NO
1999,M,Ninguna,NO
1999,M,Ninguna,NO
1999,F,Ninguna,NO
1999,F,Ninguna,NO
2000,M,Ninguna,NO
2000,M,Ninguna,NO
2000,M,Ninguna,NO
2000,F,Universidad del Atlántico,SI
2000,M,Ninguna,NO
2000,M,Ninguna,NO
2000,F,Ninguna,NO
2000,F,Politecnico Costa Atlántica,SI
2001,F,Universidad de Sucre,SI
2001,M,Escuela Independiente del Distrito de Dallas,SI
2001,F,Universidad del Atlántico,SI
2001,F,Ninguna,NO
2001,M,Ninguna,NO
2001,M,Ninguna,NO
2001,M,FED Santa Marta,SI
2001,M,Ninguna,NO
2001,F,Ninguna,NO
2001,M,Ninguna,NO
2001,M,Ninguna,NO
2001,F,Ninguna,NO
2001,M,Universidad del Norte,SI
2001,M,LatinHire Remoto,SI
2001,M,Ninguna,NO
2001,M,Ninguna,NO
2001,M,Ninguna,NO
2001,M,Ninguna,NO
2001,F,Ninguna,NO
2001,F,Ninguna,NO
2001,F,SENA,SI
2001,F,Ninguna,NO
2001,F,Ninguna,NO
2001,M,Ninguna,NO
2001,F,Tecnologíco de Monterrey,SI
2001,F,SENA,SI
2001,M,Ninguna,NO
2001,M,Ninguna,NO
2001,F,Ninguna,NO
2001,F,Ninguna,NO
2001,F,Ninguna,NO
2001,M,Ninguna,NO
2002,F,Ninguna,NO
2002,F,Ninguna,NO
2002,F,Universidad del Atlántico,SI
2002,M,Ninguna,NO
2002,M,Ninguna,NO
2002,M,Ninguna,NO
2002,F,Universidad del Atlántico,SI
2002,M,Ninguna,NO
2002,M,Universidad del Atlántico,SI
2002,F,Ninguna,NO
2002,M,Ninguna,NO
2002,M,Universidad del Atlántico,SI
2002,M,Ninguna,NO
2002,M,Institución Educativa de EEUU,SI
2002,M,Universidad de la Costa,SI
2002,M,Ninguna,NO
2002,M,Ninguna,NO
2002,F,Ninguna,NO
