Anio,Especializacion_1,SEXO,Confirmacion
2007,Ninguno,F,Ninguno
2007,Ninguno,M,Ninguno
2007,Gerencia de Producción y Operaciones,M,Tiene
2007,Ninguno,M,Ninguno
2007,Ninguno,F,Ninguno
2007,Ninguno,M,Ninguno
2007,Ninguno,M,Ninguno
2007,Ninguno,M,Ninguno
2007,Ninguno,M,Ninguno
2007,Ninguno,M,Ninguno
2007,Administración de Negocios,F,Tiene
2007,Ninguno,M,Ninguno
2007,Ninguno,M,Ninguno
2007,Gestión de Calidad,M,Tiene
2008,Ninguno,M,Ninguno
2009,Ninguno,F,Ninguno
1999,Innovación y Gestión de Ciudades,M,Tiene
2003,Ninguno,M,Ninguno
2006,Ninguno,M,Ninguno
2006,Ninguno,M,Ninguno
2001,Ninguno,M,Ninguno
2004,Gestión de la Ciencia,F,Tiene
2004,Ninguno,M,Ninguno
2004,Gestión de Proyectos,M,Tiene
2001,Ninguno,F,Ninguno
1999,Pedagogía,M,Tiene
2001,Ninguno,M,Ninguno
2002,Ninguno,M,Ninguno
2000,Ninguno,F,Ninguno
2004,Pedagogía,M,Tiene
2004,Proyectos de Evaluación Social,M,Tiene
2000,Gestión Integrada,M,Tiene
1998,Ninguno,M,Ninguno
2006,Ninguno,F,Ninguno
2005,Gerencia en la Producción y Calidad,M,Tiene
