Ano,SEXO,Maestria_1,Confirmacion
2007,M,Administración de Negocios,Tiene
2007,M,Ninguna,Ninguno
2007,M,Ninguna,Ninguno
2007,M,Finanzas,Tiene
2007,F,Ninguna,Ninguno
2007,M,Ninguna,Ninguno
2007,M,Ninguna,Ninguno
2007,M,Gestión de las Organizaciones,Tiene
2008,M,Ninguna,Ninguno
2009,F,Ninguna,Ninguno
1999,M,Ingenieria Industrial,Tiene
2003,M,Administración de Empresas e Innovación,Tiene
2006,M,Estadística Aplicada,Tiene
2006,M,Administración de Empresas,Tiene
2001,M,Administración y Direccion de Empresas,Tiene
2004,F,Innovación y Política Ciéntifica,Tiene
2004,M,Ingeniería Industrial,Tiene
2004,M,Ninguna,Ninguno
2001,F,Ingeniería Administrativa,Tiene
1999,M,Ingenieria Industrial,Tiene
2001,M,Desarrollo Social,Tiene
2002,M,Empresas e Innovación,Tiene
2000,F,Gestión de Calidad,Tiene
2004,M,Administración de Organizaciones,Tiene
2004,M,Ciencias de la Economía,Tiene
2000,M,Ninguna,Ninguno
1998,M,Ingeniería Administrativa,Tiene
2006,F,Ingeniería Administrativa,Tiene
2005,M,Educación,Tiene
