DEPARTAMENTO,MUNICIPIO,FECHA,EVENTO,FALLECIDOS,HERIDOS,FAMILIAS,VIVIENDAS_DESTRUIDAS,HECTAREAS,RECURSOS_EJECUTADOS,VALOR_KIT_DE_ALIMENTO,VALOR_MATERIALES_DE_CONSTRUCCION,VALORES_MATERIALES_DE_CONSTRUCCION
ANTIOQUIA,EL PASO,01/03/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3,0,0,0,0
ANTIOQUIA,FLORIDABLANCA,01/03/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,21,0,0,0,0
ANTIOQUIA,PIEDECUESTA,01/01/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,15,0,0,0,0
ANTIOQUIA,PAIPA,01/02/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,PUERTO GAITAN,01/03/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,20,0,0,0,0
ANTIOQUIA,GUAMO,01/03/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,SAN LUIS,01/03/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,FLORENCIA,01/04/19,MOVIMIENTO EN MASA,0,0,3,3,0,0,0,0,0
ANTIOQUIA,SAN LUIS,01/03/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3,0,0,0,0
ANTIOQUIA,PIEDRAS,01/02/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,SALDAÑA,01/02/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2,0,0,0,0
ANTIOQUIA,CASABIANCA,01/02/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4,0,0,0,0
ANTIOQUIA,GUAMO,01/01/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,VILLARRICA,01/01/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,ESPINAL,01/01/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,ALVARADO,01/01/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,200,0,0,0,0
ANTIOQUIA,AGUACHICA,01/02/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3,0,0,0,0
ANTIOQUIA,EL PASO,01/02/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4,0,0,0,0
ANTIOQUIA,BOYACA,01/02/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2,0,0,0,0
ANTIOQUIA,SAMACA,01/03/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0,0,0,0,0
ANTIOQUIA,ONZAGA,01/03/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,PINCHOTE,01/03/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,7,0,0,0,0
ANTIOQUIA,LA BELLEZA,01/03/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2,0,0,0,0
ANTIOQUIA,CHARALA,01/04/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3,0,0,0,0
ANTIOQUIA,VILLAVICENCIO,01/04/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3,0,0,0,0
ANTIOQUIA,VILLAVICENCIO,01/04/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2,0,0,0,0
ANTIOQUIA,LA CELIA,01/03/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3,0,0,0,0
